ID_ND;id;isolate;aliases;species;biotype;serotype;SNP_profile;country;continent;region;source;detail_of_isolation;year;month;comments;DOI;bioproject_accession;biosample_accession;run_accession;NCBI_assembly_accession;sender;curator;date_entered;datestamp;references
ND_PM0788;2960;LN02;;C. sakazakii;;Csak O2;PDS000136306.1;China;Asia;;Food;;2006;;"Same SNP as 3707.; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_009938785.1;3;-1;2020-02-10;2024-02-28;
ND_PM0789;2961;SC26;;C. sakazakii;;Csak O2;;China;Asia;;Clinical;;2015;;"Human faecal sample  GCA_009938765.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-10;2023-12-28;
ND_PM0790;2962;SC01;;C. malonaticus;;Cmal O2;;China;Asia;;Food;;2010;;"GCA_009938735.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-10;2024-02-28;
ND_PM0791;2963;SC25;;C. sakazakii;;Csak O7;;China;Asia;;Food;;2010;;"GCA_009938715.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-10;2022-12-28;
ND_PM0792;2964;SC16;;C. sakazakii;;Csak O3;;China;Asia;;Food;;2011;;"RPBJ00000000   GCA_009938705.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-18;2024-02-28;
ND_PM0793;2965;SD04;;C. sakazakii;;Csak O4;;China;Asia;;Food ingredient;;2010;;"Serotype predicted by Crotrait WGS analysis; Spice GCA_009938685.1";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-10;2023-12-28;
ND_PM0794;2966;SD11;;C. malonaticus;;Cmal O3;;China;Asia;;Environmental;;2010;;"Serotype predicted by Crotrait WGS analysis; Water GCA_009938655.1";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-10;2024-02-28;
ND_PM0795;2967;SD05;;C. dublinensis;;Cdub O2;;China;Asia;;Environmental;;2010;;"Plant GCA_009938635.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-10;2023-10-28;
ND_PM0796;2968;SD26;;C. malonaticus;;Cmal O2;;China;Asia;;Environmental;;2010;;"Serotype predicted by Crotrait WGS analysis; Water GCA_009938615.1";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-10;2024-02-28;
ND_PM0797;2969;SD16;;C. malonaticus;;Cmal O2;;China;Asia;;Environmental;;2010;;"Serotype predicted by Crotrait WGS analysis; Water GCA_009938605.1";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-10;2024-02-28;
ND_PM0798;2970;SD19;;C. sakazakii;;Csak O1;;China;Asia;;Environmental;;2010;;"Serotype predicted by Crotrait WGS analysis; Water GCA_009938585.1";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2023-06-28;
ND_PM0799;2971;XJ02;;C. sakazakii;;Csak O4;;China;Asia;;Food;;2012;;"GCA_009938505.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2023-06-28;
ND_PM0800;2972;SX10;;C. dublinensis;;Cdub O2;;China;Asia;;Food;;2016;;"GCA_009938525.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2024-02-28;
ND_PM0801;2973;SD83;;C. muytjensii;;Cmuyt O2;;China;Asia;;Food ingredient;;2016;;"Serotype predicted by Crotrait WGS analysis; Spice GCA_009938515.1";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2024-02-28;
ND_PM0802;2974;SD28;;C. dublinensis;;Cdub O7;;China;Asia;;Environmental;;2010;;"Serotype predicted by Crotrait WGS analysis; Water GCA_009938535.1";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2024-02-28;
ND_PM0803;2975;SD92;;C. muytjensii;;;;China;Asia;;Food ingredient;;2016;;Spice GCA_009938485.1;;;;;;3;-1;2020-02-11;2024-02-28;
ND_PM0804;2976;SD45;;C. sakazakii;;Csak O4;;China;Asia;;Clinical;;2011;;"Human faecal sample GCA_009938455.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2023-12-28;
ND_PM0805;2977;SD69;;C. dublinensis;;Cdub O5a;;China;Asia;;Food ingredient;;2016;;"Detailed source: Spice; Serotype predicted by Crotrait WGS analysis as Cdub O5, however considering the clustering of IDs 148+2977, and 2491+2492 in the CroTrait manuscript, the curator (SJF) has designated them provisionally as Cdub O5a, and Cdub O5b respectively.";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_009938445.1;3;-1;2020-02-11;2024-02-28;
ND_PM0806;2978;SD43;;C. malonaticus;;Cmal O2;;China;Asia;;Environmental;;2010;;"Serotype predicted by Crotrait WGS analysis; Water GCA_009938535.1";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2024-02-28;
ND_PM0807;2979;SH11;;C. turicensis;;Ctur O1;;China;Asia;;Clinical;;2013;;"Human faecal sample  GCA_009938395.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2024-02-28;
ND_PM0808;2980;SD47;;C. sakazakii;;Csak O3;;China;Asia;;Food;;2011;;"GCA_009938385.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2023-12-28;
ND_PM0809;2981;HA03;;C. sakazakii;;Csak O3;;China;Asia;;Food;;2012;;"GCA_009938355.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2023-12-28;
ND_PM0810;2982;SD21;;C. turicensis;;Ctur O3;;China;Asia;;Environmental;;2010;;"Serotype predicted by Crotrait WGS analysis; Water GCA_009938535.1";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2024-02-28;
ND_PM0811;2983;CFSAN068773;;C. sakazakii;;Csak O1;;USA;North America;;Unknown;;2019;;"ASM964889v1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-02-11;2023-10-28;
ND_PM0812;2994;CS-09;;C. sakazakii;;Csak O4;;Mexico;North America;;Clinical;;2016;1;"Faecal sample. 4y female. GCA_003515105.2 Biosample links with ID 2995, CS-931.; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-19;2023-10-28;
ND_PM0813;2996;HA18072;PDT000712705.1;C. turicensis;;Ctur O8;;China;Asia;Zhengzhou;Powdered infant formula;;2020;;"GCA_011605685.1    SAMN14218536   blaCMA fos; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2024-02-28;
ND_PM0814;2997;HA18012;PDT000712704.1;C. sakazakii;;Csak O1;;China;Asia;Zhengzhou;Powdered infant formula;;2020;;"GCA_011605645.1 SAMN14218528    blaCSA; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2023-12-28;
ND_PM0815;2998;HA18014;PDT000712703.1;C. dublinensis;;Cdub O1a;;China;Asia;Zhengzhou;Powdered infant formula;;2020;;"GCA_011605635.1     SAMN14218529; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2024-02-28;
ND_PM0816;2999;HA18016;PDT000712702.1;C. turicensis;;Ctur O8;;China;Asia;Zhengzhou;Powdered infant formula;;2020;;"GCA_011605625.1  SAMN14218530   blaCMA fos; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2024-02-28;
ND_PM0817;3000;HA18040;PDT000712701.1;C. sakazakii;;Csak O4;;China;Asia;Zhengzhou;Powdered infant formula;;2020;;"GCA_011605595.1    SAMN14218532  blaCSA mcr-9.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2023-12-28;
ND_PM0818;3001;HA18020;PDT000712700.1;C. sakazakii;;Csak O1;;China;Asia;Zhengzhou;Powdered infant formula;;2018;;"GCA_011605585.1  SAMN14218531  blaCSA mcr-9.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2023-08-28;
ND_PM0819;3002;HA18071;PDT000712699.1;C. sakazakii;;Csak O1;;China;Asia;Zhengzhou;Powdered infant formula;;2018;;"GCA_011605555.1   SAMN14218535   blaCSA mcr-9.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2023-08-28;
ND_PM0820;3003;HA18060;PDT000712698.1;C. turicensis;;Ctur O8;;China;Asia;Zhengzhou;Powdered infant formula;;2020;;"GCA_011605535.1  SAMN14218533  blaCMA fos; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2024-02-28;
ND_PM0821;3004;HA18070;PDT000712697.1;C. sakazakii;;Csak O1;;China;Asia;Zhengzhou;Powdered infant formula;;2020;;"GCA_011605525.1   SAMN14218534   blaCSA mcr-9.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2023-08-28;
ND_PM0822;3005;HA18074;PDT000712696.1;C. sakazakii;;Csak O1;;China;Asia;Zhengzhou;Powdered infant formula;;2020;;"GCA_011605495.1    SAMN14218537  blaCSA mcr-9.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2023-10-28;
ND_PM0823;3006;HA18076;PDT000712695.1;C. sakazakii;;Csak O1;;China;Asia;Zhengzhou;Powdered infant formula;;2020;;"GCA_011605485.1  SAMN14218539   blaCSA; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2023-10-28;
ND_PM0824;3007;HA18075;PDT000712694.1;C. sakazakii;;Csak O1;;China;Asia;Zhengzhou;Powdered infant formula;;2018;;"GCA_011605455.1  SAMN14218538  blaCSA mcr-9.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-03-24;2023-08-28;
ND_PM0825;3008;CS-931;;C. sakazakii;;Csak O1;;Mexico;North America;;Clinical;;2016;;"6 year old male with anemic syndrome. Faecal sample.  Hospital Infantil de Mexico. GCA_003516125.3.  Chromosome and 2 plasmid sequences separately uploaded. Biosample links with ID 2994 / CS-09; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-04-01;2023-10-28;
ND_PM0826;3010;511296;;C. turicensis;;;;Austria;Europe;;Clinical;;2019;;Veterinary isolate from infected intestinal tissue of  European hare (Lepus europaeus) suffering from severe typhlocolitis.;;;;;;3;-1;2020-06-04;2024-02-28;
ND_PM0827;3011;511300;;C. turicensis;;Ctur O1;;Austria;Europe;;Clinical;;2019;;"Serotype predicted by Crotrait WGS analysis; Veterinary isolate from infected intestinal tissue of  European hare (Lepus europaeus) suffering from severe typhlocolitis.";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-04;2024-02-28;
ND_PM0828;3012;511297;;C. turicensis;;;;Austria;Europe;;Clinical;;2019;;Veterinary isolate from infected intestinal tissue of  European hare (Lepus europaeus) suffering from severe typhlocolitis.;;;;;;3;-1;2020-06-04;2024-02-28;
ND_PM0829;3013;511298;;C. turicensis;;Ctur O1;;Austria;Europe;;Clinical;;2019;;"Serotype predicted by Crotrait WGS analysis; Veterinary isolate from infected intestinal tissue of  European hare (Lepus europaeus) suffering from severe typhlocolitis.";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-04;2024-02-28;
ND_PM0830;3014;511299;;C. turicensis;;Ctur O3;;Austria;Europe;;Clinical;;2019;;"Serotype predicted by Crotrait WGS analysis; Veterinary isolate from infected intestinal tissue of  European hare (Lepus europaeus) suffering from severe typhlocolitis.";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-04;2024-02-28;
ND_PM0831;3018;CE13-G;PDT000751105.1;C. sakazakii;;Csak O1;;China;Asia;;Infant formula;;;;"ID 890 Powdered infant formula SAMN11465891    GCA_013186325.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2024-02-28;
ND_PM0832;3019;CE15-G;PDT000751104.1;C. sakazakii;;Csak O2;;China;Asia;;Infant formula;;;;"ID 900 Powdered infant formula SAMN11465892  GCA_013186295.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2024-02-28;
ND_PM0833;3020;CE16-G;PDT000751103.1;C. sakazakii;;Csak O3;;China;Asia;;Infant formula;;;;"ID707. Powdered infant formula SAMN11465893   GCA_013186285.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2024-02-28;
ND_PM0834;3021;CE32-G;PDT000751102.1;C. sakazakii;;Csak O2;PDS000063714.1;China;Asia;;Infant formula;;;;"ID 904 Final product; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;SSAMN11465896;;GCA_013186255.1;3;-1;2020-06-06;2024-02-28;
ND_PM0835;3022;CE28-G;PDT000751101.1;C. sakazakii;;Csak O2;;China;Asia;;Infant formula;;;;"ID 895 Powdered infant formula SAMN11465894    GCA_013186245.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2024-02-28;
ND_PM0836;3023;CE56-G;PDT000751100.1;C. sakazakii;;Csak O2;;China;Asia;;Infant formula;;;;"ID 902 Powdered infant formula SAMN11465899   GCA_013186205.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2023-10-28;
ND_PM0837;3024;CE62-G;PDT000751099.1;C. sakazakii;;Csak O2;PDS000063714.1;China;Asia;;Infant formula;;;;"ID 913 Powder lumps on fluidized bed; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;SAMN11465900;;GCA_013186195.1;3;-1;2020-06-06;2024-02-28;
ND_PM0838;3025;CE29-G;PDT000751098.1;C. sakazakii;;Csak O4;;China;Asia;;Infant formula;;;;"ID 903 SAMN11465895 GCA_013186185.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2023-12-28;
ND_PM0839;3026;CE52-G;PDT000751097.1;C. sakazakii;;Csak O1;;China;Asia;;Infant formula;;;;"ID 898 SAMN11465897   GCA_013186165.1   mcr-9.1=COMPLETE; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2024-02-28;
ND_PM0840;3027;CE55-G;PDT000751096.1;C. sakazakii;;Csak O1;;China;Asia;;Infant formula;;;;"ID709 SAMN11465898    GCA_013186145.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2022-12-28;
ND_PM0841;3028;CE64-G;PDT000751095.1;C. sakazakii;;Csak O2;;China;Asia;;Infant formula;;;;"ID 888 SAMN11465902    GCA_013186115.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2024-02-28;
ND_PM0842;3029;CE63-G;PDT000751094.1;C. sakazakii;;Csak O1;;China;Asia;;Infant formula;;;;"ID 864 SAMN11465901     GCA_013186105.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2023-10-28;
ND_PM0843;3030;CE75-G;PDT000751093.1;C. sakazakii;;Csak O2;PDS000063714.1;China;Asia;;Infant formula;;;;"ID 711; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;SAMN11465904;;GCA_013186055.1;3;-1;2020-06-06;2024-02-28;
ND_PM0844;3031;CMa3-G;PDT000751092.1;C. malonaticus;;Cmal O2;;China;Asia;;Infant formula;;;;"ID 918 SAMN11465905    GCA_013186065.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-06;2024-02-28;
ND_PM0845;3035;GZcsf-1-G;GCA_003955925.1;C. sakazakii;;Csak O1;;China;Asia;;Clinical;;2018;;"Human. Brain abscess fluid. Mcr-9; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2023-06-28;
ND_PM0846;3040;467G;GCA_002977765.1;C. sakazakii;;Csak O1;;China;Asia;;Food;;2018;;"Serotype predicted by Crotrait WGS analysis; food. Mcr-9";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2024-02-28;
ND_PM0847;3041;cro1489B1;GCA_002977865.1;C. sakazakii;;;;China;Asia;;Food;;2018;;food. MCr-9;;;;;;3;-1;2020-06-20;2023-10-28;
ND_PM0848;3044;MOD1_GK1032;GCA_008805975.1;C. sakazakii;;Csak O1;PDS000075809.3;Germany;Europe;;Environmental;;2019;;"Serotype predicted by Crotrait WGS analysis; environmental swab from powdered infant formula facility. Mcr-9.Same SNP as 4088, 3105, 3080, 3018, 3044.";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2023-10-28;
ND_PM0849;3045;MOD1_GK1259;GCA_008806095.1;C. sakazakii;;Csak O1;PDS000051477.2;Germany;Europe;;Environmental;;2014;;"Serotype predicted by Crotrait WGS analysis; environmental swab from powdered infant formula facility. Mcr-9. Same SNP as 4082, 3046, 3045";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2023-10-28;
ND_PM0850;3046;MOD1_GK1160;GCA_008806115.1;C. sakazakii;;Csak O1;PDS000051477.2;Germany;Europe;;Environmental;;2014;;"Serotype predicted by Crotrait WGS analysis; environmental swab from powdered infant formula facility. Mcr-9. Same SNP as 4082, 3046, 3045";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2023-10-28;
ND_PM0851;3047;MOD1_LR736;GCA_002974915.1;C. sakazakii;;Csak O1;;USA;North America;IL;Infant formula ingredient;;2018;;"Serotype predicted by Crotrait WGS analysis; Whey protein Concentrate 34. mcr-9";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2023-10-28;
ND_PM0852;3050;MOD1-E657;GCA_008806255.1;C. sakazakii;;Csak O1;;Ireland;Europe;;Clinical;;2019;;"Human mcr-9; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2023-10-28;
ND_PM0853;3051;MOD1_GK793;GCA_008806035.1;C. sakazakii;;Csak O1;PDS000051478.2;Germany;Europe;;Environmental;;2019;;"Environmental swab from powdered infant formula facility. Mcr-9; Serotype predicted by Crotrait WGS analysis. Same SNP as 4084, 3053, 3052, 3051";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2023-10-28;
ND_PM0854;3052;MOD1_GK1261;GCA_008806055.1;C. sakazakii;;Csak O1;PDS000051478.2;Germany;Europe;;Environmental;;2019;;"Environmental swab from powdered infant formula facility. Mcr-9; Serotype predicted by Crotrait WGS analysis. Same SNP as 4084, 3053, 3052, 3051";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2023-10-28;
ND_PM0855;3053;MOD1_GK1260;GCA_008806075.1;C. sakazakii;;Csak O1;PDS000051478.2;Germany;Europe;;Environmental;;2019;;"Environmental swab from powdered infant formula facility. Mcr-9; Serotype predicted by Crotrait WGS analysis. Same SNP as 4084, 3053, 3052, 3051";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-06-20;2023-10-28;
ND_PM0856;3059;YO-1;;C. malonaticus;;;;Japan;Asia;Hyogo prefecture;Clinical;;2020;;CSF Neonate not premature;;;;;;3;-1;2020-07-02;2024-02-28;
ND_PM0857;3072;145005;"WCH145005; WCHCSa145005";C. sakazakii;;Csak O3;;China;Asia;Chengdu Sichuan;Clinical;;2019;11;"Faecal. Includes pMCR-10. GCA_013421565.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-07-29;2023-10-28;
ND_PM0858;3075;Cr150;;C. muytjensii;;Cmuyt O3;;Israel;Asia;;Powdered infant formula;;2007;;"10.1128/MRA.00660-20  Microbial Resource Announcements GCA_013363955.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-10-30;2024-02-28;
ND_PM0859;3076;Cr611;;C. sakazakii;;Csak O3;;Israel;Asia;;Powdered infant formula;;2007;;"10.1128/MRA.00660-20  Microbial Resource Announcements GCA_013363955.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-10-30;2024-02-28;
ND_PM0860;3077;Cr170;;C. turicensis;;Ctur O3;;Israel;Asia;;Powdered infant formula;;2013;;"10.1128/MRA.00660-20  Microbial Resource Announcements GCA_013363985.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-10-30;2024-02-28;
ND_PM0861;3079;MOD1_GK1518;CFSAN105816;C. malonaticus;;Cmal O3;PDS000076006.2;Germany;Europe;;Environmental;;2015;;"Powdered infant formula manufacturing environment. Gunther Klein, Hanover Inst. Food Qual. & Food Safety. GCA_015350615.1  CFSAN105816. Same SNP as 4081,4085,3114,3113,3115,3117,3118,3116,3121, 3120,3119,3079; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-12;2024-02-28;
ND_PM0862;3080;MOD1_GK1519;;C. sakazakii;;Csak O1;PDS000075809.3;Germany;Europe;;Environmental;;2015;;"Powder infant formula manufacturing facility; Serotype predicted by Crotrait WGS analysis. Same SNP as 4088, 3105, 3080, 3018, 3044";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_015351615.1;3;-1;2020-11-12;2023-10-28;
ND_PM0863;3081;MOD1_GK1521;;C. sakazakii;;Csak O1;PDS000075809.3;Germany;Europe;;Environmental;;2015;;"Powder infant formula manufacturing facility; Serotype predicted by Crotrait WGS analysis. Same SNP as 4088, 3105, 3080, 3018, 3044";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_015350665.1;3;-1;2020-11-12;2023-10-28;
ND_PM0864;3082;MOD1_GK1151;;C. sakazakii;;Csak O7;;Germany;Europe;;Environmental;;2015;;"Powder infant formula manufacturing facility GCA_015350625.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-12;2023-10-28;
ND_PM0865;3083;MOD1_GK1153;;C. sakazakii;;Csak O2;;Germany;Europe;;Environmental;;2015;;"Powder infant formula manufacturing facility GCA_015350595.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-12;2024-02-28;
ND_PM0866;3084;MOD1_GK1152;;C. sakazakii;;Csak O2;;Germany;Europe;;Environmental;;2015;;"Powder infant formula manufacturing facility GCA_015350575.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-12;2024-02-28;
ND_PM0867;3085;MOD1_GK1316;PDT000890431.2;C. sakazakii;;Csak O7;PDS000017269.3;Germany;Europe;;Envronmental;;2015;;"Same SNP as 4083, 3085, 3086, 1900, 1902, 1903; Serotype predicted by Crotrait WGS analysis.";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_015353795.1;3;-1;2020-11-16;2024-02-28;
ND_PM0868;3086;MOD1_GK955;PDT000890420.2;C. sakazakii;;Csak O7;PDS000017269.3;Germany;Europe;;Envronmental;;2015;;"Same SNP as 4083, 3085, 3086, 1900, 1902, 1903; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_015353575.1;3;-1;2020-11-16;2024-02-28;
ND_PM0869;3087;MOD1_GK1266;PDT000890442.2;C. sakazakii;;Csak O2;;Germany;Europe;;Envronmental;;2015;;"GCA_015354015.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-16;2024-02-28;
ND_PM0870;3088;MOD1_GK1315;PDT000890402.2;C. sakazakii;;Csak O2;PDS000051480.3;Germany;Europe;;Envronmental;;2015;;"AMR: blaCSA-2; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_015353215.1;3;-1;2020-11-16;2024-02-28;
ND_PM0871;3089;MOD1_GK1353;PDT000890426.2;C. sakazakii;;Csak O2;;Germany;Europe;;Envronmental;;2015;;"GCA_015353695.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-16;2024-02-28;
ND_PM0872;3090;MOD1_GK1359;PDT000890414.2;C. sakazakii;;Csak O2;PDS000051480.3;Germany;Europe;;Envronmental;;2015;;"AMR: blaCSA-2; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_015353455.1;3;-1;2020-11-16;2024-02-28;
ND_PM0873;3091;MOD1_GK1161;PDT000890405.2;C. sakazakii;;Csak O2;PDS000051481.2;Germany;Europe;;Envronmental;;2015;;"AMR: blaCSA-2; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_015353275.1;3;-1;2020-11-16;2024-02-28;
ND_PM0874;3092;MOD1_GK1265;PDT000890407.2;C. sakazakii;;Csak O2;PDS000051481.2;Germany;Europe;;Envronmental;;2015;;"AMR: blaCSA-2; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_015353335.1;3;-1;2020-11-16;2024-02-28;
ND_PM0875;3093;MOD1_GK1321;PDT000890433.2;C. sakazakii;;Csak O2;;Germany;Europe;;Envronmental;;2015;;"GCA_015353835.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-16;2024-02-28;
ND_PM0876;3094;MOD1_GK1322;PDT000890437.2;C. sakazakii;;Csak O2;;Germany;Europe;;Envronmental;;2015;;"GCA_015353915.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-16;2024-02-28;
ND_PM0877;3095;MOD1_GK1323;PDT000890439.2;C. sakazakii;;Csak O2;;Germany;Europe;;Envronmental;;2015;;"GCA_015353955.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-16;2024-02-28;
ND_PM0878;3096;MOD1_GK1324;PDT000890435.2;C. sakazakii;;Csak O2;;Germany;Europe;;Envronmental;;2015;;"GCA_015353875.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2020-11-16;2024-02-28;
