ND_ID;Assembly Accession;Annotation Count Gene Non-coding;Annotation Count Gene Protein-coding
ND_NC1215;GCA_022388265.1;80;4307
ND_NC1216;GCA_022605365.1;87;4193
ND_NC1217;GCA_022607325.1;63;3680
ND_NC1218;GCA_022607385.1;65;3484
ND_NC1219;GCA_022607425.1;74;3344
ND_NC1220;GCA_022607465.1;58;3552
ND_NC1221;GCA_022607505.1;68;3564
ND_NC1222;GCA_022607515.1;62;3501
ND_NC1223;GCA_022607545.1;70;3596
ND_NC1224;GCA_022607585.1;58;3461
ND_NC1225;GCA_022607605.1;54;3558
ND_NC1226;GCA_022607615.1;62;3563
ND_NC1227;GCA_022607745.1;63;3471
ND_NC1228;GCA_022607925.1;63;3582
ND_NC1229;GCA_022618395.1;86;4196
ND_NC1230;GCA_022618415.1;81;4441
ND_NC1231;GCA_022622715.1;93;4361
ND_NC1232;GCA_022622735.1;88;4208
ND_NC1233;GCA_022622755.1;88;4317
ND_NC1234;GCA_022622775.1;90;4372
ND_NC1235;GCA_022622795.1;86;4261
ND_NC1236;GCA_022622815.1;90;4213
ND_NC1237;GCA_022631655.1;88;4422
ND_NC1238;GCA_022631675.1;86;4231
ND_NC1239;GCA_022631995.1;87;4184
ND_NC1240;GCA_022632075.1;88;4464
ND_NC1241;GCA_022632215.1;86;4154
ND_NC1242;GCA_022669925.1;84;4433
ND_NC1243;GCA_022675915.1;88;4282
ND_NC1244;GCA_022676515.1;89;4031
ND_NC1245;GCA_022676535.1;88;4188
ND_NC1246;GCA_022677145.1;88;4173
ND_NC1247;GCA_022677165.1;92;4018
ND_NC1248;GCA_022677665.1;88;4180
ND_NC1249;GCA_022679005.1;93;4262
ND_NC1250;GCA_022679025.1;91;4199
ND_NC1251;GCA_022679045.1;93;4215
ND_NC1252;GCA_022679065.1;92;4214
ND_NC1253;GCA_022679085.1;90;4113
ND_NC1254;GCA_022679105.1;87;4238
ND_NC1255;GCA_022679125.1;87;4341
ND_NC1256;GCA_022679145.1;94;4228
ND_NC1257;GCA_022679165.1;88;4216
ND_NC1258;GCA_022679185.1;92;4269
ND_NC1259;GCA_022679205.1;94;4130
ND_NC1260;GCA_022679225.1;92;4230
ND_NC1261;GCA_022679245.1;91;4215
ND_NC1262;GCA_022679265.1;88;4240
ND_NC1263;GCA_022679285.1;86;4232
ND_NC1264;GCA_022679585.1;89;4128
ND_NC1265;GCA_022679645.1;95;4248
ND_NC1266;GCA_022679665.1;89;4221
ND_NC1267;GCA_022679685.1;90;4231
ND_NC1268;GCA_022679705.1;86;4120
ND_NC1269;GCA_022679945.1;83;4247
ND_NC1270;GCA_022880615.1;82;4169
ND_NC1271;GCA_022880645.1;83;4138
ND_NC1272;GCA_022880715.1;78;4033
ND_NC1273;GCA_022880735.1;85;4262
ND_NC1274;GCA_022880755.1;82;4170
ND_NC1275;GCA_022880835.1;77;4140
ND_NC1276;GCA_022880875.1;81;4131
ND_NC1277;GCA_022880895.1;78;4129
ND_NC1278;GCA_022917495.1;84;4203
ND_NC1279;GCA_022956895.1;78;4448
ND_NC1280;GCA_022956955.1;90;4477
ND_NC1281;GCA_022956995.1;83;4122
ND_NC1282;GCA_022997145.1;88;4411
ND_NC1283;GCA_022997185.1;88;4407
ND_NC1284;GCA_022997965.1;87;4387
ND_NC1285;GCA_023010325.1;91;4545
ND_NC1286;GCA_023101995.1;87;4181
ND_NC1287;GCA_023102015.1;92;4173
ND_NC1288;GCA_023102035.1;84;4237
ND_NC1289;GCA_023102055.1;90;4142
ND_NC1290;GCA_023102075.1;86;4296
ND_NC1291;GCA_023102095.1;92;4175
ND_NC1292;GCA_023185135.1;83;4173
ND_NC1293;GCA_023185255.1;84;4182
ND_NC1294;GCA_023185275.1;86;4201
ND_NC1295;GCA_023231675.1;88;4358
ND_NC1296;GCA_023239085.1;90;4582
ND_NC1297;GCA_023239105.1;89;4239
ND_NC1298;GCA_023239145.1;89;4217
ND_NC1299;GCA_023239165.1;90;4646
ND_NC1300;GCA_023288705.1;91;4042
ND_NC1301;GCA_023687285.1;98;4449
ND_NC1302;GCA_023744875.1;96;4428
ND_NC1303;GCA_023901335.1;85;4155
ND_NC1304;GCA_023903055.1;90;4187
ND_NC1305;GCA_023903875.1;92;4046
ND_NC1306;GCA_023915545.1;98;4248
ND_NC1307;GCA_023915665.1;96;4646
ND_NC1308;GCA_023927265.1;92;4092
ND_NC1309;GCA_023934385.1;91;4210
ND_NC1310;GCA_024132175.1;89;4192
ND_NC1311;GCA_024145485.1;89;4280
ND_NC1312;GCA_024148685.1;91;4337
ND_NC1313;GCA_024176085.1;92;4319
ND_NC1314;GCA_024176145.1;90;4248
ND_NC1315;GCA_024226855.1;89;4444
ND_NC1316;GCA_024226875.1;95;4365
ND_NC1317;GCA_024226895.1;92;4490
ND_NC1318;GCA_024227535.1;92;4414
ND_NC1319;GCA_024228755.1;94;4564
ND_NC1320;GCA_024228835.1;92;4523
ND_NC1321;GCA_024228895.1;93;4336
ND_NC1322;GCA_024228905.1;92;4317
ND_NC1323;GCA_024228995.1;92;4344
ND_NC1324;GCA_024256945.1;93;4209
ND_NC1325;GCA_024602975.1;91;4391
ND_NC1326;GCA_024603055.1;87;4272
ND_NC1327;GCA_024603115.1;92;4267
ND_NC1328;GCA_024612355.1;86;4211
ND_NC1329;GCA_024614265.1;89;4277
ND_NC1330;GCA_024731945.1;93;4320
ND_NC1331;GCA_024731965.1;88;4212
ND_NC1332;GCA_024732025.1;87;4199
ND_NC1333;GCA_024805735.1;87;4249
ND_NC1334;GCA_024815455.1;83;4117
ND_NC1335;GCA_024818635.1;82;4315
ND_NC1336;GCA_024819075.1;86;4467
ND_NC1337;GCA_024823275.1;91;4258
ND_NC1338;GCA_024856105.1;87;4171
ND_NC1339;GCA_024856165.1;90;4130
ND_NC1340;GCA_024860465.1;89;4241
ND_NC1341;GCA_024866985.1;93;4149
ND_NC1342;GCA_024868165.1;89;4290
ND_NC1343;GCA_024871145.1;83;4183
ND_NC1344;GCA_024931745.1;84;4576
ND_NC1345;GCA_024933825.1;89;4243
ND_NC1346;GCA_025098185.1;87;4187
ND_NC1347;GCA_025103325.1;90;4190
ND_NC1348;GCA_025113985.1;91;4202
ND_NC1349;GCA_025368895.1;65;4246
ND_NC1350;GCA_025368955.1;87;4372
ND_NC1351;GCA_025369215.1;84;4179
ND_NC1352;GCA_025369475.1;77;4359
ND_NC1353;GCA_025369515.1;71;4376
ND_NC1354;GCA_025530135.1;89;4310
ND_NC1355;GCA_025530155.1;87;4294
ND_NC1356;GCA_025530275.1;92;4393
ND_NC1357;GCA_025530315.1;95;4348
ND_NC1358;GCA_025530325.1;89;4203
ND_NC1359;GCA_025530355.1;89;4287
ND_NC1360;GCA_025530375.1;89;4211
ND_NC1361;GCA_025552915.1;94;4376
ND_NC1362;GCA_025554775.1;89;4394
ND_NC1363;GCA_025692285.1;89;4237
ND_NC1364;GCA_025692305.1;91;4366
ND_NC1365;GCA_025692325.1;90;4274
ND_NC1366;GCA_025692345.1;87;4221
ND_NC1367;GCA_025692365.1;88;4344
ND_NC1368;GCA_025692385.1;84;4425
ND_NC1369;GCA_025692405.1;88;4341
ND_NC1370;GCA_025692425.1;89;4281
ND_NC1371;GCA_025692485.1;92;4357
ND_NC1372;GCA_025692505.1;85;4035
ND_NC1373;GCA_025692765.1;87;4356
ND_NC1374;GCA_025692785.1;89;4135
ND_NC1375;GCA_025692805.1;89;4314
ND_NC1376;GCA_025692825.1;87;4365
ND_NC1377;GCA_025763715.1;84;4325
ND_NC1378;GCA_025809895.1;83;4201
ND_NC1379;GCA_025809975.1;91;4061
ND_NC1380;GCA_025810215.1;86;4368
ND_NC1381;GCA_025810515.1;88;4053
ND_NC1382;GCA_025841765.1;79;4353
ND_NC1383;GCA_025857155.1;93;4075
ND_NC1384;GCA_025904945.1;93;4226
ND_NC1385;GCA_026097235.1;85;4356
ND_NC1386;GCA_026097255.1;88;4174
ND_NC1387;GCA_026099235.1;87;4207
ND_NC1388;GCA_026099255.1;88;4375
ND_NC1389;GCA_026103415.1;91;4197
ND_NC1390;GCA_026103495.1;90;4145
ND_NC1391;GCA_026103635.1;90;4324
ND_NC1392;GCA_026105815.1;85;4440
ND_NC1393;GCA_026106415.1;89;4306
ND_NC1394;GCA_026180285.1;83;4267
ND_NC1395;GCA_026584305.1;96;4327
ND_NC1396;GCA_026759775.1;87;4282
ND_NC1397;GCA_028151905.1;87;4489
ND_NC1398;GCA_028151925.1;89;4123
ND_NC1399;GCA_028151965.1;83;4250
ND_NC1400;GCA_028152005.1;86;4063
ND_NC1401;GCA_028152035.1;90;4171
ND_NC1402;GCA_028152055.1;87;4138
ND_NC1403;GCA_028152125.1;86;4237
ND_NC1404;GCA_028152245.1;94;4204
ND_NC1405;GCA_028152325.1;94;4235
ND_NC1406;GCA_028154105.1;80;4087
ND_NC1407;GCA_028154125.1;82;3974
ND_NC1408;GCA_028154145.1;92;4244
ND_NC1409;GCA_028154165.1;92;4374
ND_NC1410;GCA_028154185.1;92;4372
ND_NC1411;GCA_028171425.1;90;4422
ND_NC1412;GCA_028171465.1;91;4198
ND_NC1413;GCA_028171485.1;90;4111
ND_NC1414;GCA_028171505.1;90;4319
ND_NC1415;GCA_028171525.1;94;4233
ND_NC1416;GCA_028171545.1;90;4236
ND_NC1417;GCA_028171565.1;91;4489
ND_NC1418;GCA_028171585.1;83;4114
ND_NC1419;GCA_028171705.1;90;4224
ND_NC1420;GCA_028171745.1;80;4106
ND_NC1421;GCA_028171925.1;91;4356
ND_NC1422;GCA_028172045.1;87;4172
ND_NC1423;GCA_028216115.1;93;4218
ND_NC1424;GCA_028216135.1;88;3953
ND_NC1425;GCA_028216155.1;91;4224
ND_NC1426;GCA_028216175.1;91;4053
ND_NC1427;GCA_028216195.1;87;4510
ND_NC1428;GCA_028216215.1;91;3999
ND_NC1429;GCA_028216235.1;92;4231
ND_NC1430;GCA_028216255.1;86;4279
ND_NC1431;GCA_028216295.1;92;4174
ND_NC1432;GCA_028216315.1;89;4003
ND_NC1433;GCA_028216335.1;91;4114
ND_NC1434;GCA_028216355.1;93;4181
ND_NC1435;GCA_028576595.1;93;4353
ND_NC1436;GCA_028576695.1;93;4529
ND_NC1437;GCA_028576715.1;91;4600
ND_NC1438;GCA_028576735.1;93;4520
ND_NC1439;GCA_028576775.1;91;4419
ND_NC1440;GCA_028577115.1;91;4474
ND_NC1441;GCA_028577175.1;90;4469
ND_NC1442;GCA_028577195.1;93;4508
ND_NC1443;GCA_028577215.1;88;4281
ND_NC1444;GCA_028577235.1;92;4337
ND_NC1445;GCA_028577435.1;90;4628
ND_NC1446;GCA_028577475.1;89;4633
ND_NC1447;GCA_028577495.1;93;4395
ND_NC1448;GCA_028577515.1;99;4515
ND_NC1449;GCA_028577535.1;93;4625
ND_NC1450;GCA_028577555.1;91;4459
ND_NC1451;GCA_028577965.1;91;4428
ND_NC1452;GCA_028578005.1;86;4318
ND_NC1453;GCA_028578075.1;92;4280
ND_NC1454;GCA_028581635.1;98;4552
ND_NC1455;GCA_028582895.1;91;4371
ND_NC1456;GCA_028582935.1;92;4596
ND_NC1457;GCA_028582955.1;95;4599
ND_NC1458;GCA_028628985.1;80;4290
ND_NC1459;GCA_028629045.1;75;4110
ND_NC1460;GCA_028630815.1;75;4137
ND_NC1461;GCA_028631855.1;87;4096
ND_NC1462;GCA_028631905.1;88;4139
ND_NC1463;GCA_028632205.1;80;4047
ND_NC1464;GCA_028638555.1;85;4115
ND_NC1465;GCA_028640005.1;79;4163
ND_NC1466;GCA_028643825.1;85;4029
ND_NC1467;GCA_028643835.1;86;4091
ND_NC1468;GCA_028643885.1;87;4100
ND_NC1469;GCA_028644685.1;81;4361
ND_NC1470;GCA_028918445.2;84;4282
ND_NC1471;GCA_029229845.1;81;4421
ND_NC1472;GCA_029300215.1;82;4160
ND_NC1473;GCA_029442175.1;76;4068
ND_NC1474;GCA_029470045.1;88;4241
ND_NC1475;GCA_029470065.1;88;4214
ND_NC1476;GCA_029472445.1;89;4228
ND_NC1477;GCA_029601715.1;89;4202
ND_NC1478;GCA_029601775.1;83;4023
ND_NC1479;GCA_029601975.1;89;4238
ND_NC1480;GCA_029602555.1;91;4273
ND_NC1481;GCA_029602575.1;92;4282
ND_NC1482;GCA_029602815.1;79;4037
ND_NC1483;GCA_029602875.1;86;4204
ND_NC1484;GCA_029602915.1;92;4217
ND_NC1485;GCA_030022975.1;88;4177
ND_NC1486;GCA_030022995.1;81;4182
ND_NC1487;GCA_030023035.1;91;4173
ND_NC1488;GCA_030023065.1;86;4168
ND_NC1489;GCA_030023085.1;90;4167
ND_NC1490;GCA_030023115.1;87;4168
ND_NC1491;GCA_030023165.1;91;4175
ND_NC1492;GCA_030023185.1;90;4173
ND_NC1493;GCA_030023215.1;92;4175
ND_NC1494;GCA_030023245.1;87;4173
ND_NC1495;GCA_030023265.1;92;4193
ND_NC1496;GCA_030023285.1;91;4169
ND_NC1497;GCA_030023305.1;84;4170
ND_NC1498;GCA_030023325.1;86;4173
ND_NC1499;GCA_030023345.1;84;4168
ND_NC1500;GCA_030023365.1;82;4165
ND_NC1501;GCA_030023385.1;85;4180
ND_NC1502;GCA_030023405.1;85;4252
ND_NC1503;GCA_030023425.1;91;4172
ND_NC1504;GCA_030023445.1;94;4171
ND_NC1505;GCA_030023465.1;88;4220
ND_NC1506;GCA_030023485.1;84;4244
ND_NC1507;GCA_030023525.1;80;4169
ND_NC1508;GCA_030023545.1;86;4161
ND_NC1509;GCA_030023565.1;89;4054
ND_NC1510;GCA_030024135.1;89;4169
ND_NC1511;GCA_030025365.1;88;4172
ND_NC1512;GCA_030025405.1;84;4250
ND_NC1513;GCA_030025465.1;83;4166
ND_NC1514;GCA_030025525.1;81;4171
ND_NC1515;GCA_030025565.1;78;4170
ND_NC1516;GCA_030025625.1;82;4167
ND_NC1517;GCA_030025645.1;82;4165
ND_NC1518;GCA_030025665.1;82;4163
ND_NC1519;GCA_030025685.1;78;4059
ND_NC1520;GCA_030025705.1;81;4170
ND_NC1521;GCA_030025725.1;84;4169
ND_NC1522;GCA_030025745.1;83;4167
ND_NC1523;GCA_030025785.1;82;4236
ND_NC1524;GCA_030025805.1;80;4173
ND_NC1525;GCA_030025815.1;82;4053
ND_NC1526;GCA_030025845.1;86;4169
ND_NC1527;GCA_030025865.1;79;4186
ND_NC1528;GCA_030025885.1;84;4169
ND_NC1529;GCA_030025905.1;81;4299
ND_NC1530;GCA_030025925.1;92;4320
ND_NC1531;GCA_030025945.1;82;4165
ND_NC1532;GCA_030025965.1;82;4167
ND_NC1533;GCA_030025985.1;83;4410
ND_NC1534;GCA_030026005.1;85;4168
ND_NC1535;GCA_030026025.1;86;4166
ND_NC1536;GCA_030026045.1;86;4057
ND_NC1537;GCA_030026065.1;89;4197
ND_NC1538;GCA_030026085.1;86;4122
ND_NC1539;GCA_030026105.1;87;4141
ND_NC1540;GCA_030026125.1;86;4296
ND_NC1541;GCA_030026145.1;88;4118
ND_NC1542;GCA_030026165.1;81;4018
ND_NC1543;GCA_030026185.1;83;4301
ND_NC1544;GCA_030026205.1;92;4215
ND_NC1545;GCA_030026225.1;82;3964
ND_NC1546;GCA_030026245.1;81;4192
ND_NC1547;GCA_030026265.1;87;4266
ND_NC1548;GCA_030026285.1;85;4201
ND_NC1549;GCA_030026305.1;90;4168
ND_NC1550;GCA_030026325.1;87;4123
ND_NC1551;GCA_030026345.1;83;4096
ND_NC1552;GCA_030026365.1;81;4085
ND_NC1553;GCA_030026385.1;88;4375
ND_NC1554;GCA_030026405.1;84;4164
ND_NC1555;GCA_030026425.1;87;4168
ND_NC1556;GCA_030026445.1;85;4240
ND_NC1557;GCA_030026465.1;92;4083
ND_NC1558;GCA_030026505.1;83;4173
ND_NC1559;GCA_030026525.1;90;4238
ND_NC1560;GCA_030026545.1;91;4306
ND_NC1561;GCA_030026585.1;87;4171
ND_NC1562;GCA_030026605.1;87;4184
ND_NC1563;GCA_030026625.1;86;4168
ND_NC1564;GCA_030026645.1;86;4116
ND_NC1565;GCA_030026665.1;92;4198
ND_NC1566;GCA_030026685.1;99;4465
ND_NC1567;GCA_030026705.1;82;4152
ND_NC1568;GCA_030026725.1;89;4166
ND_NC1569;GCA_030026755.1;87;4239
ND_NC1570;GCA_030026785.1;89;4262
ND_NC1571;GCA_030055255.1;91;4262
ND_NC1572;GCA_030055275.1;90;4298
ND_NC1573;GCA_030055295.1;87;4283
ND_NC1574;GCA_030055335.1;86;4135
ND_NC1575;GCA_030055355.1;83;4276
ND_NC1576;GCA_030055385.1;93;4164
ND_NC1577;GCA_030123785.1;88;4275
ND_NC1578;GCA_030123825.1;75;4116
ND_NC1579;GCA_030123845.1;77;4182
ND_NC1580;GCA_030123865.1;93;4378
ND_NC1581;GCA_030123885.1;80;4342
ND_NC1582;GCA_030123905.1;84;4261
ND_NC1583;GCA_030123925.1;89;4192
ND_NC1584;GCA_030123945.1;87;4222
ND_NC1585;GCA_030123965.1;93;4390
ND_NC1586;GCA_030123985.1;89;4303
ND_NC1587;GCA_030124005.1;84;4036
ND_NC1588;GCA_030124025.1;90;4110
ND_NC1589;GCA_030124045.1;88;4592
ND_NC1590;GCA_030124065.1;93;4244
ND_NC1591;GCA_030124085.1;86;4291
ND_NC1592;GCA_030124105.1;86;4177
ND_NC1593;GCA_030125795.1;83;3986
ND_NC1594;GCA_030125825.1;83;3774
ND_NC1595;GCA_030125845.1;84;4037
ND_NC1596;GCA_030125885.1;89;4206
ND_NC1597;GCA_030125905.1;81;4271
ND_NC1598;GCA_030125925.1;88;3981
ND_NC1599;GCA_030125945.1;89;4336
ND_NC1600;GCA_030125965.1;83;4240
ND_NC1601;GCA_030125985.1;89;4420
ND_NC1602;GCA_030126005.1;85;4297
ND_NC1603;GCA_030126025.1;89;4217
ND_NC1604;GCA_030126045.1;87;4242
ND_NC1605;GCA_030126065.1;90;4260
ND_NC1606;GCA_030126085.1;83;4288
ND_NC1607;GCA_030126105.1;85;4173
ND_NC1608;GCA_030126135.1;83;4171
ND_NC1609;GCA_030126155.1;82;4177
ND_NC1610;GCA_030126185.1;80;4173
ND_NC1611;GCA_030126205.1;84;4165
ND_NC1612;GCA_030126225.1;83;4301
ND_NC1613;GCA_030126245.1;78;3989
ND_NC1614;GCA_030126275.1;89;4019
ND_NC1615;GCA_030126345.1;82;3985
ND_NC1616;GCA_030126445.1;88;4224
ND_NC1617;GCA_030126505.1;83;4286
ND_NC1618;GCA_030126555.1;92;4211
ND_NC1619;GCA_030126625.1;88;4050
ND_NC1620;GCA_030126645.1;87;4047
ND_NC1621;GCA_030126665.1;88;4009
ND_NC1622;GCA_030126705.1;88;4327
ND_NC1623;GCA_030126725.1;94;4229
ND_NC1624;GCA_030126745.1;105;4109
ND_NC1625;GCA_030126765.1;89;4098
ND_NC1626;GCA_030126785.1;85;4118
ND_NC1627;GCA_030126805.1;77;4207
ND_NC1628;GCA_030127285.1;85;4172
ND_NC1629;GCA_030127315.1;87;4174
ND_NC1630;GCA_030127335.1;70;4166
ND_NC1631;GCA_030127365.1;84;4164
ND_NC1632;GCA_030720665.1;91;4271
ND_NC1633;GCA_030720725.1;86;4291
ND_NC1634;GCA_030720745.1;83;4220
ND_NC1635;GCA_030720885.1;86;4174
ND_NC1636;GCA_030720945.1;87;4283
ND_NC1637;GCA_030721015.1;91;4231
ND_NC1638;GCA_030721125.1;90;4051
ND_NC1639;GCA_030721135.1;86;4113
ND_NC1640;GCA_030721165.1;86;4140
ND_NC1641;GCA_030721185.1;91;4080
ND_NC1642;GCA_030721205.1;87;4032
ND_NC1643;GCA_030721225.1;88;4158
ND_NC1644;GCA_030721245.1;89;4192
ND_NC1645;GCA_030721265.1;85;4170
ND_NC1646;GCA_030721285.1;84;4000
ND_NC1647;GCA_030721295.1;83;4244
ND_NC1648;GCA_030721325.1;92;4074
ND_NC1649;GCA_030721345.1;89;4502
ND_NC1650;GCA_030721365.1;88;4301
ND_NC1651;GCA_030721385.1;82;4330
ND_NC1652;GCA_030721405.1;91;4211
ND_NC1653;GCA_030721425.1;92;4233
ND_NC1654;GCA_030721445.1;92;4414
ND_NC1655;GCA_030721465.1;91;4277
ND_NC1656;GCA_030721485.1;93;4328
ND_NC1657;GCA_030721505.1;89;4285
ND_NC1658;GCA_030721525.1;92;4284
ND_NC1659;GCA_030721545.1;89;4165
ND_NC1660;GCA_030721565.1;91;4142
ND_NC1661;GCA_030721585.1;91;4316
ND_NC1662;GCA_030721605.1;94;4370
ND_NC1663;GCA_030721625.1;90;4273
ND_NC1664;GCA_030721645.1;80;4243
ND_NC1665;GCA_030721665.1;90;4166
ND_NC1666;GCA_030721685.1;89;4448
ND_NC1667;GCA_030735715.1;91;4322
ND_NC1668;GCA_030735735.1;80;4300
ND_NC1669;GCA_030735755.1;86;4286
ND_NC1670;GCA_030735775.1;91;4427
ND_NC1671;GCA_030735795.1;87;4093
ND_NC1672;GCA_030735815.1;87;4114
ND_NC1673;GCA_030735855.1;92;4365
ND_NC1674;GCA_030735875.1;92;4166
ND_NC1675;GCA_030735885.1;92;4409
ND_NC1676;GCA_030735915.1;86;4066
ND_NC1677;GCA_030735935.1;96;4278
ND_NC1678;GCA_030735975.1;94;4396
ND_NC1679;GCA_030735995.1;95;4357
ND_NC1680;GCA_030736015.1;91;4308
ND_NC1681;GCA_030736035.1;91;4068
ND_NC1682;GCA_030736075.1;89;4223
ND_NC1683;GCA_030736095.1;94;4241
ND_NC1684;GCA_030736115.1;88;4324
ND_NC1685;GCA_030736135.1;93;4370
ND_NC1686;GCA_030736155.1;93;4364
ND_NC1687;GCA_030736175.1;90;4173
ND_NC1688;GCA_030736195.1;91;4180
ND_NC1689;GCA_030736215.1;89;4128
ND_NC1690;GCA_030736295.1;94;4174
ND_NC1691;GCA_030736315.1;87;4053
ND_NC1692;GCA_030736335.1;92;4193
ND_NC1693;GCA_030736355.1;88;4353
ND_NC1694;GCA_030736395.1;91;4326
ND_NC1695;GCA_030736415.1;91;4176
ND_NC1696;GCA_030736495.1;89;4309
ND_NC1697;GCA_030736535.1;93;4286
ND_NC1698;GCA_030736555.1;88;4233
ND_NC1699;GCA_030736565.1;94;4311
ND_NC1700;GCA_030736595.1;90;4235
ND_NC1701;GCA_030736615.1;85;4059
ND_NC1702;GCA_030736635.1;90;4219
ND_NC1703;GCA_030736655.1;91;4226
ND_NC1704;GCA_030736675.1;91;4194
ND_NC1705;GCA_030736695.1;92;4198
ND_NC1706;GCA_030736715.1;89;4053
ND_NC1707;GCA_030736725.1;90;4324
ND_NC1708;GCA_030736755.1;86;4183
ND_NC1709;GCA_030761515.1;87;4259
ND_NC1710;GCA_030761525.1;86;4063
ND_NC1711;GCA_031104225.1;91;4127
ND_NC1712;GCA_031104325.1;95;4266
ND_NC1713;GCA_031104365.1;90;4337
ND_NC1714;GCA_031154745.3;85;4167
ND_NC1715;GCA_031190165.1;106;3898
ND_NC1716;GCA_031190195.1;91;3814
ND_NC1717;GCA_031190465.1;94;3847
ND_NC1718;GCA_031190515.1;103;2859
ND_NC1719;GCA_032433825.1;89;4160
ND_NC1720;GCA_032477555.1;78;4236
ND_NC1721;GCA_032560875.1;56;3316
ND_NC1722;GCA_032574575.1;76;3921
ND_NC1723;GCA_032829975.1;88;4152
ND_NC1724;GCA_032854865.1;89;4185
ND_NC1725;GCA_032854925.1;85;4268
ND_NC1726;GCA_032854965.1;85;4053
ND_NC1727;GCA_032854985.1;91;4376
ND_NC1728;GCA_032855005.1;89;3954
ND_NC1729;GCA_032855025.1;86;4012
ND_NC1730;GCA_032855045.1;93;4453
ND_NC1731;GCA_032855085.1;95;4444
ND_NC1732;GCA_032855105.1;90;4104
ND_NC1733;GCA_032855125.1;94;4463
ND_NC1734;GCA_032855165.1;90;4141
ND_NC1735;GCA_032855185.1;87;4257
ND_NC1736;GCA_032855225.1;91;4461
ND_NC1737;GCA_032855245.1;91;4170
ND_NC1738;GCA_032855265.1;95;4197
ND_NC1739;GCA_032855345.1;86;4287
ND_NC1740;GCA_032855365.1;91;4481
ND_NC1741;GCA_032855385.1;92;4176
ND_NC1742;GCA_032855415.1;92;4200
ND_NC1743;GCA_032855425.1;90;4189
ND_NC1744;GCA_032855465.1;92;4206
ND_NC1745;GCA_032855505.1;90;4191
ND_NC1746;GCA_032855565.1;92;4176
ND_NC1747;GCA_032855625.1;91;4066
ND_NC1748;GCA_032855645.1;88;4240
ND_NC1749;GCA_032855665.1;90;4149
ND_NC1750;GCA_032855675.1;84;4076
ND_NC1751;GCA_032855725.1;92;4009
ND_NC1752;GCA_032855745.1;86;4050
ND_NC1753;GCA_032855765.1;90;4005
ND_NC1754;GCA_032855785.1;90;4108
ND_NC1755;GCA_032855815.1;84;4069
ND_NC1756;GCA_032855845.1;89;4156
ND_NC1757;GCA_032855865.1;87;4161
ND_NC1758;GCA_032855905.1;87;4144
ND_NC1759;GCA_032855925.1;91;4488
ND_NC1760;GCA_032855945.1;92;4200
ND_NC1761;GCA_032855985.1;87;4199
ND_NC1762;GCA_032856005.1;90;4086
ND_NC1763;GCA_032856045.1;91;3951
ND_NC1764;GCA_032856065.1;83;4053
ND_NC1765;GCA_032856075.1;84;4137
ND_NC1766;GCA_032856205.1;87;4276
ND_NC1767;GCA_032856305.1;97;4097
ND_NC1768;GCA_032867955.1;90;4269
ND_NC1769;GCA_033053705.1;;
ND_NC1770;GCA_033445025.1;83;4108
ND_NC1771;GCA_033445085.1;78;4129
ND_NC1772;GCA_033445125.1;80;4095
ND_NC1773;GCA_033445225.1;75;4092
ND_NC1774;GCA_033788685.1;83;4449
ND_NC1775;GCA_033896025.1;92;4268
ND_NC1776;GCA_033896045.1;90;4050
ND_NC1777;GCA_033896065.1;90;4281
ND_NC1778;GCA_033896085.1;83;4120
ND_NC1779;GCA_033896105.1;81;3999
ND_NC1780;GCA_033896125.1;88;4206
ND_NC1781;GCA_033896165.1;93;4040
ND_NC1782;GCA_033896185.1;90;4140
ND_NC1783;GCA_033896205.1;88;4063
ND_NC1784;GCA_033896225.1;87;4077
ND_NC1785;GCA_033896245.1;88;4382
ND_NC1786;GCA_033896325.1;88;4178
ND_NC1787;GCA_033896365.1;93;4168
ND_NC1788;GCA_033896425.1;87;4037
ND_NC1789;GCA_033896445.1;87;4012
ND_NC1790;GCA_033896465.1;90;4068
ND_NC1791;GCA_033896485.1;88;4009
ND_NC1792;GCA_033896495.1;86;4101
ND_NC1793;GCA_033896545.1;89;4083
ND_NC1794;GCA_033896715.1;89;4195
ND_NC1795;GCA_033896745.1;86;3998
ND_NC1796;GCA_033896765.1;88;4013
ND_NC1797;GCA_033896785.1;89;3971
ND_NC1798;GCA_033896805.1;90;4117
ND_NC1799;GCA_033896825.1;92;4152
ND_NC1800;GCA_033896845.1;89;4102
ND_NC1801;GCA_033896865.1;93;4053
ND_NC1802;GCA_033896885.1;84;4249
ND_NC1803;GCA_033896905.1;93;4165
ND_NC1804;GCA_033896925.1;91;4162
ND_NC1805;GCA_033896945.1;90;4201
ND_NC1806;GCA_033896965.1;86;3964
ND_NC1807;GCA_033896985.1;88;4152
ND_NC1808;GCA_033897005.1;90;4059
ND_NC1809;GCA_033897025.1;87;4196
ND_NC1810;GCA_033897045.1;94;4119
ND_NC1811;GCA_033897065.1;92;4197
ND_NC1812;GCA_033897105.1;86;4012
ND_NC1813;GCA_033897125.1;93;4036
ND_NC1814;GCA_033897205.1;85;4307
ND_NC1815;GCA_033897225.1;88;4102
ND_NC1816;GCA_033897245.1;96;4032
ND_NC1817;GCA_033897265.1;93;4257
ND_NC1818;GCA_033897325.1;91;4239
ND_NC1819;GCA_033897345.1;93;4293
ND_NC1820;GCA_033897365.1;94;4215
